id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,136,27,1,1,0,29,11,0,15
33,96,112,8,26,0,3,11,0,15
34,66,159,11,8,0,3,14,0,15
35,60,85,19,26,0,3,22,0,15
36,23,0,19,30,0,3,22,0,15
37,213,0,22,26,0,3,25,0,15
38,0,31,22,26,0,3,25,0,15
39,251,108,4,8,0,3,7,0,15
40,43,0,11,30,0,3,14,0,15
41,67,0,11,30,0,3,14,0,15
42,140,81,19,26,0,3,22,0,15
43,167,132,19,19,0,7,22,0,15
44,37,159,8,12,0,21,11,0,15
45,96,159,15,5,0,14,18,0,15
46,78,159,8,8,0,21,11,0,15
47,72,112,11,26,0,3,14,0,15
48,236,0,19,26,0,3,22,0,15
49,60,112,11,26,0,3,14,0,15
50,184,27,19,26,0,3,22,0,15
51,204,27,19,26,0,3,22,0,15
52,224,27,19,26,0,3,22,0,15
53,0,58,19,26,0,3,22,0,15
54,100,85,19,26,0,3,22,0,15
55,40,58,19,26,0,3,22,0,15
56,60,58,19,26,0,3,22,0,15
57,80,58,19,26,0,3,22,0,15
58,0,159,8,19,0,10,11,0,15
59,212,108,8,23,0,10,11,0,15
60,0,112,15,26,0,3,18,0,15
61,9,159,15,12,0,14,18,0,15
62,32,112,15,26,0,3,18,0,15
63,120,58,19,26,0,3,22,0,15
64,46,31,22,26,0,7,25,0,15
65,140,54,19,26,0,3,22,0,15
66,160,54,19,26,0,3,22,0,15
67,180,54,19,26,0,3,22,0,15
68,200,81,19,26,0,3,22,0,15
69,200,54,19,26,0,3,22,0,15
70,220,54,19,26,0,3,22,0,15
71,0,85,19,26,0,3,22,0,15
72,20,85,19,26,0,3,22,0,15
73,105,112,8,26,0,3,11,0,15
74,240,54,15,26,0,3,18,0,15
75,161,27,22,26,0,3,25,0,15
76,240,81,15,26,0,3,18,0,15
77,163,0,26,26,0,3,29,0,15
78,190,0,22,26,0,3,25,0,15
79,69,31,22,26,0,3,25,0,15
80,100,58,19,26,0,3,22,0,15
81,0,0,22,30,0,3,25,0,15
82,20,58,19,26,0,3,22,0,15
83,16,112,15,26,0,3,18,0,15
84,92,31,22,26,0,3,25,0,15
85,220,81,19,26,0,3,22,0,15
86,23,31,22,26,0,3,25,0,15
87,136,0,26,26,0,3,29,0,15
88,138,27,22,26,0,3,25,0,15
89,115,31,22,26,0,3,25,0,15
90,40,85,19,26,0,3,22,0,15
91,55,0,11,30,0,3,14,0,15
92,244,27,11,26,0,3,14,0,15
93,79,0,11,30,0,3,14,0,15
94,25,159,11,12,0,3,14,0,15
95,112,159,22,4,0,25,22,0,15
96,87,159,8,8,0,3,11,0,15
97,187,132,19,19,0,10,22,0,15
98,80,85,19,26,0,3,22,0,15
99,239,128,15,19,0,10,18,0,15
100,180,81,19,26,0,3,22,0,15
101,147,136,19,19,0,10,22,0,15
102,48,112,11,26,0,3,14,0,15
103,132,112,19,23,0,10,22,0,15
104,120,85,19,26,0,3,22,0,15
105,114,112,8,26,0,3,11,0,15
106,103,0,11,30,0,3,14,0,15
107,160,81,19,26,0,3,22,0,15
108,123,112,8,26,0,3,11,0,15
109,221,108,29,19,0,10,32,0,15
110,67,139,19,19,0,10,22,0,15
111,107,139,19,19,0,10,22,0,15
112,152,108,19,23,0,10,22,0,15
113,172,108,19,23,0,10,22,0,15
114,207,132,15,19,0,10,18,0,15
115,223,128,15,19,0,10,18,0,15
116,84,112,11,26,0,3,14,0,15
117,27,139,19,19,0,10,22,0,15
118,47,139,19,19,0,10,22,0,15
119,0,139,26,19,0,10,29,0,15
120,87,139,19,19,0,10,22,0,15
121,192,108,19,23,0,10,22,0,15
122,127,139,19,19,0,10,22,0,15
123,115,0,11,30,0,3,14,0,15
124,127,0,8,30,0,3,11,0,15
125,91,0,11,30,0,3,14,0,15
126,46,159,19,8,0,3,22,0,15
